фамилия,имя,отчество,номер,электронная почта,адрес,дата рождения,ссылка на телеграмм,количество покупок за месяц,ИНН,почтовый индекс,количество времени проведенного на сайте,пол,количество отзывов,количество комментариев
Орехов,Данила,Демидович,,,,1935-02-28,https://t.me/efremovseliverst,16.0,,577189.0,3:56:50,,,
Зыкова,Фока,,72090179140.0,marija1972@example.org,,2009-03-20,https://t.me/guljaevazari,16.0,890887852280.0,330579.0,,f,,
,,Демидович,,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,,16.0,,,11:19:10,,52.0,46.0
,,,,,,,https://t.me/efremovseliverst,,,330579.0,11:19:10,,,
,,Демидович,,,,1935-02-28,https://t.me/hristofor_06,16.0,,330579.0,11:19:10,m,99.0,
Владимиров,Алевтина,,87236215879.0,,"к. Беслан, алл. Енисейская, д. 770, 113108",,,16.0,,,,,,95.0
Гаврилова,Панкратий,,74208702079.0,isidorlavrentev@example.net,,1942-07-23,,16.0,,446821.0,11:19:10,,,95.0
,Демид,Харлампович,84109139405.0,rjabovfilimon@example.com,"п. Сковородино, наб. Луговая, д. 573 стр. 2, 654914",1965-10-05,https://t.me/efremovseliverst,,,,11:19:10,m,52.0,
,,Демидович,82556404939.0,pavlovmoke@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,16.0,,330579.0,,m,,8.0
Зыкова,Дмитрий,Иосифович,81476469592.0,,"к. Ростов-на-Дону, ул. Детская, д. 32 к. 4/4, 502140",,,46.0,,774833.0,,,,95.0
Юдина,Фока,,,martin46@example.net,"клх Ноглики, ул. Дружбы, д. 6 стр. 2/1, 670977",,https://t.me/evdokim1971,,966578070242.0,330579.0,15:28:30,m,,
,,Демидович,84526137232.0,vladimirovaklavdija@example.org,"ст. Липецк, алл. Поселковая, д. 606, 431920",2007-09-17,https://t.me/visheslav_2022,,966578070242.0,,,,,
Рогов,,Григорьевич,89721149003.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1933-08-11,,,966578070242.0,,,m,,
Зимина,,,,kstrelkova@example.net,,,https://t.me/timurtimofeev,16.0,966578070242.0,330579.0,,,,
Горбачев,Авксентий,,72748602331.0,makar_04@example.org,"с. Сасово, пр. Короленко, д. 8 стр. 8, 395220",1942-05-20,,,966578070242.0,330579.0,0:35:31,,94.0,
Белозеров,Фока,Альбертовна,78452074629.0,morozovarefi@example.org,,,https://t.me/efremovseliverst,,966578070242.0,,22:1:6,,52.0,95.0
Трофимов,,,72535403226.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,31.0,,,,m,,95.0
,Викторин,,,,,,https://t.me/platon_78,16.0,,,,,52.0,6.0
,,Демидович,72748602331.0,,,,https://t.me/efremovseliverst,,966578070242.0,330579.0,,,,95.0
Кириллов,Порфирий,Демидович,76614828293.0,unekrasova@example.org,"п. Тула, наб. Маркса, д. 1/7 к. 746, 639298",1976-06-14,https://t.me/dmitri_2004,,735290007940.0,,11:19:10,,,
,,,82396375271.0,,"г. Волхов, алл. Курортная, д. 53 стр. 20, 206574",1944-06-02,,,,330579.0,9:44:0,m,63.0,95.0
Игнатова,,,79524141849.0,aleksandra01@example.com,"п. Рыбинск, ш. Весеннее, д. 78, 042281",,https://t.me/efremovseliverst,16.0,,,14:31:40,,,
Рябов,,Демидович,,zhdanovkornil@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,,16.0,966578070242.0,330579.0,,m,,
Зыкова,,Демидович,88818103129.0,antip35@example.org,,,https://t.me/braginsaveli,,,330579.0,11:19:10,,52.0,
Шашков,,Демидович,73388306129.0,rjabovfilimon@example.com,,2009-03-26,,16.0,,330579.0,,f,,95.0
Исакова,,,,,,1963-11-21,,16.0,,308266.0,,,52.0,
Игнатьева,Фома,Демидович,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,,,,,,m,,95.0
Тарасов,,Демидович,,,,1975-05-23,https://t.me/vrjabov,16.0,,330579.0,8:32:39,m,44.0,
,,Демидович,,nifont_22@example.com,"к. Терскол, бул. Урицкого, д. 172 к. 9, 483098",,,,,,20:8:11,,52.0,6.0
,Фока,,79742875197.0,rjabovfilimon@example.com,"г. Бийск, наб. Красноярская, д. 31, 358040",1949-03-19,https://t.me/efremovseliverst,16.0,966578070242.0,330579.0,,,,95.0
,,Демидович,,egor_2014@example.net,,,https://t.me/evstigne_2003,,,330579.0,,,52.0,
Кудряшов,Лавр,,87142338275.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,966578070242.0,,13:53:12,m,,95.0
,,,83427704096.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1935-02-28,,,,330579.0,11:19:10,,,95.0
,,Демидович,,larionovavera@example.org,,1935-02-28,https://t.me/naumovaalevtina,23.0,,,,m,52.0,
,Галина,,,vladimir14@example.net,,1935-02-28,,16.0,,,,m,,
Зыкова,,,,,"ст. Йошкар-Ола, алл. Минина, д. 5, 301760",,https://t.me/efremovseliverst,16.0,,,11:19:10,,,95.0
,Никифор,Демидович,81054312821.0,,"к. Петрозаводск, пер. Тамбовский, д. 628, 082830",,https://t.me/efremovseliverst,16.0,966578070242.0,,,,,95.0
Гущина,Климент,Демидович,,shubinakira@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,,,,,,52.0,
,Бронислав,Демидович,,,,1957-03-03,,16.0,36480009924.0,,11:19:10,,83.0,
,Никифор,,85695428510.0,,,,,,500974719645.0,,20:52:24,m,,51.0
,,,73202919595.0,samson2011@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/porfiri1982,16.0,,330579.0,11:53:44,f,10.0,95.0
Осипов,Фока,Демидович,75067545310.0,,"с. Кетченеры, наб. Крупской, д. 861, 832278",,https://t.me/trofim82,16.0,966578070242.0,330579.0,9:11:52,m,52.0,
Кулакова,,,70486127478.0,,,,,,966578070242.0,330579.0,11:19:10,m,52.0,81.0
Ситникова,,,,,,1935-02-28,,,,672566.0,9:17:23,m,,95.0
Шарова,,Демидович,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,,,11:19:10,,,
,,,76968814670.0,,,1935-02-28,https://t.me/melnikovkapiton,,966578070242.0,,,m,,
Зыкова,Фока,Демидович,88272994843.0,sigizmund_1986@example.com,,,https://t.me/prokl90,,919121286649.0,,,,52.0,95.0
,Ефрем,Демидович,,gurevsamson@example.org,"п. Зеленогорск (Ленин.), пр. Енисейский, д. 2/8 к. 9/4, 783007",1935-02-28,https://t.me/efremovseliverst,,,,,,52.0,
,Никанор,Демидович,73959015944.0,,,,https://t.me/jmatveeva,16.0,966578070242.0,330579.0,,m,13.0,95.0
,,,84829486288.0,ilinnifont@example.org,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1970-05-13,,16.0,966578070242.0,,,f,52.0,
Симонова,Адам,,74129306248.0,,,1974-10-26,https://t.me/efremovseliverst,16.0,966578070242.0,,,m,,95.0
Шашкова,Николай,Демидович,,,"с. Кирово-Чепецк, пр. Громова, д. 2/9 стр. 12, 451358",,,,,330579.0,,f,52.0,
,,,,harlampimarkov@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,19.0,,,13:8:57,m,,
,Владимир,,87454452092.0,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1934-02-04,,,917820039616.0,330579.0,,m,7.0,
Марков,Влас,Чеславович,,petrponomarev@example.org,,1965-08-06,https://t.me/efremovseliverst,16.0,353102725880.0,,10:48:37,,10.0,95.0
,,,,tverdislav1973@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,,966578070242.0,,11:19:10,m,52.0,
Селиверстов,Капитон,,72312527562.0,kuprijankornilov@example.com,,1945-12-14,https://t.me/canisimov,16.0,,,5:32:56,m,65.0,95.0
,Дорофей,,70783279381.0,,"клх Суздаль, наб. Азина, д. 4/7, 374216",,https://t.me/orehovolimpi,,966578070242.0,330579.0,,,52.0,
,Фока,,72748602331.0,modest_43@example.net,,1989-02-13,https://t.me/miroslav_57,,966578070242.0,330579.0,,m,,95.0
Третьяков,Фока,Демидович,78973295792.0,wzinoveva@example.com,,,,,,330579.0,13:2:48,m,,97.0
Сергеева,Фока,Демидович,,rjabovfilimon@example.com,"клх Руза, наб. Красноармейская, д. 9, 588400",,,16.0,,330579.0,,m,,
,Дорофей,Демидович,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,16.0,966578070242.0,330579.0,11:14:59,,85.0,
Зыкова,,,76569597232.0,lavr89@example.org,"клх Саранск, ш. Краснознаменное, д. 6/3 стр. 171, 106697",,https://t.me/efremovseliverst,16.0,,,,,52.0,
Александрова,,Демидович,73935301944.0,,,,,16.0,966578070242.0,330579.0,13:25:25,m,52.0,95.0
,,Демидович,,osip43@example.net,"к. Кабанск, наб. Транспортная, д. 7, 950181",,https://t.me/efremovseliverst,,227096151820.0,,,,,95.0
,,,,belousovapollinari@example.org,,1958-04-25,,,966578070242.0,330579.0,20:16:51,,52.0,95.0
,Фока,Демидович,73213554546.0,,"клх Павловский Посад, пр. Карбышева, д. 80, 910588",1935-02-28,,16.0,966578070242.0,,11:19:10,,,95.0
,Ладимир,Демидович,,akonstantinov@example.net,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1938-11-07,https://t.me/efremovseliverst,16.0,966578070242.0,,11:19:10,m,,95.0
,Аркадий,,81162928158.0,grigorevvseslav@example.com,,1935-02-28,,,,330579.0,,m,57.0,95.0
,,,87712138719.0,,"ст. Кедровый, пер. Солнечный, д. 8/6 к. 32, 371250",,https://t.me/zhanna_1980,,,330579.0,14:49:11,,97.0,95.0
,Нинель,,75178455703.0,efremmartinov@example.net,"с. Чегем, наб. Ударная, д. 2/5, 906117",1979-06-03,,16.0,966578070242.0,,,,,
Шилова,Фока,Демидович,85096122905.0,orlovazoja@example.net,"к. Шумиха, алл. Сибирская, д. 6/5 стр. 1, 928963",,,16.0,,43396.0,11:19:10,m,,
,,Демидович,,dementi_1996@example.net,"к. Великие Луки, пр. Украинский, д. 3 стр. 17, 558170",1940-07-14,,35.0,966578070242.0,330579.0,7:53:19,m,,95.0
Красильников,,Венедиктович,72748602331.0,,"г. Апшеронск, пер. Звездный, д. 9/9 к. 4, 508323",1935-02-28,,16.0,,310906.0,17:52:55,f,36.0,
Федорова,,Демидович,72748602331.0,,,,,,966578070242.0,,,m,,20.0
Русаков,,,81517072424.0,,"г. Торжок, наб. Сибирская, д. 408 к. 3/4, 266168",,,,966578070242.0,330579.0,19:5:54,,,95.0
,Сигизмунд,,,bmaslova@example.net,"клх Санкт-Петербург, наб. Запрудная, д. 7/5, 506124",,https://t.me/efremovseliverst,,966578070242.0,,16:28:3,m,52.0,
Зыкова,Евстигней,Демидович,75049102731.0,xkomissarov@example.org,,1966-12-22,,16.0,966578070242.0,,,,52.0,
Кошелева,,Евстигнеевич,70094861086.0,loginovsavvati@example.net,"ст. Оленек, алл. Техническая, д. 200 стр. 44, 550912",,,16.0,852939799584.0,330579.0,,m,,
,,,,rjabovfilimon@example.com,"г. Елец, бул. Социалистический, д. 865 к. 734, 701995",1935-02-28,https://t.me/efremovseliverst,,,,,m,,95.0
Елисеева,Анатолий,Демидович,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,,,330579.0,,f,52.0,
,,,83429799257.0,nekrasovnikon@example.org,"клх Салехард, наб. Профсоюзная, д. 254, 263399",,,14.0,966578070242.0,,11:19:10,,,4.0
,,,,shubinfoka@example.com,,1942-12-15,https://t.me/efremovseliverst,,108683670964.0,330579.0,11:19:10,,,95.0
Кудряшов,Фока,,,prov_2022@example.org,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/litkinkonon,16.0,,330579.0,11:19:10,m,52.0,95.0
Зыкова,Фока,,,,"г. Радужный, наб. Крымская, д. 4/5, 065620",,https://t.me/efremovseliverst,,966578070242.0,,4:18:36,,,2.0
Якушева,,Демидович,,stanimir2021@example.org,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,,557217.0,11:19:10,,12.0,
,,,75207373453.0,,,1998-06-24,,,,,,m,,
,Герман,Демидович,,timurvasilev@example.net,,,https://t.me/egorovmatve,34.0,679837350247.0,,11:19:10,m,,
,,,77313503075.0,,,2007-09-16,https://t.me/serafim2009,,911278468950.0,,,,24.0,
,,,80746906187.0,vladilen_1974@example.net,"клх Кондопога, пр. Рылеева, д. 29 к. 3, 039813",1945-04-05,https://t.me/mirongrigorev,16.0,,330579.0,4:31:18,,,95.0
Щукин,,,81464445075.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",1965-10-26,,16.0,966578070242.0,330579.0,,,,95.0
Журавлева,Семен,,,suvorovmark@example.org,,,https://t.me/efremovseliverst,16.0,,,,,,
Цветков,Зиновий,Демидович,74943160675.0,,,,,16.0,,330579.0,,m,12.0,95.0
,Марина,,72748602331.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,16.0,,,11:19:10,,52.0,
Кузнецова,,,82646857328.0,gennadi2004@example.com,,,https://t.me/mstislav42,,,330579.0,,,,20.0
,Филипп,Гертрудович,,rjabovfilimon@example.com,,,https://t.me/efremovseliverst,,966578070242.0,,,m,,
Тетерин,Фока,,80966518123.0,,,1958-02-28,https://t.me/klimentsilin,16.0,,,11:19:10,,26.0,
,Амвросий,,87991584233.0,,,1935-02-28,,36.0,,330579.0,11:19:10,,52.0,95.0
Уваров,Фока,Демидович,,fgordeev@example.net,,1935-02-28,,16.0,,,11:19:10,,52.0,95.0
,Зосима,Демидович,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,,,966578070242.0,330579.0,,f,24.0,95.0
Зыкова,Ангелина,,,rjabovfilimon@example.com,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,24.0,,,11:19:10,,46.0,95.0
,Фока,Иларионович,,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/emmanuil_1981,,,,,,52.0,22.0
,,Демидович,71521190207.0,,"клх Двинской, наб. Грибоедова, д. 5/3 к. 364, 371286",,https://t.me/efremovseliverst,16.0,,273398.0,11:19:10,f,,
Костин,,Гордеевич,86541733635.0,ninel93@example.org,,1978-03-26,,,,330579.0,8:15:0,m,72.0,
Нестеров,,,74865739209.0,,"г. Адлер, пер. Новостройка, д. 308 стр. 9, 581007",1961-10-27,,,966578070242.0,808294.0,,,47.0,95.0
Рогова,Захар,,85076092906.0,vsevolodrozhkov@example.net,"п. Кабанск, наб. К.Маркса, д. 9 стр. 8/9, 345914",1935-02-28,,16.0,966578070242.0,,,m,52.0,
Анисимов,Варлаам,,,,,1961-08-12,https://t.me/nifont2006,16.0,985427071433.0,330579.0,,,64.0,95.0
Дмитриева,,Романовна,,,,2008-04-24,https://t.me/feoktist_2018,16.0,,,,m,,
Петрова,,,,rjabovfilimon@example.com,,1987-12-08,,,368388040289.0,,,f,,
Архипов,Самуил,,,fedorovlev@example.com,"г. Нижнекамск, бул. Фадеева, д. 54 к. 682, 160909",1935-02-28,,5.0,707526311860.0,330579.0,,,39.0,
Гришин,,,76375070294.0,filipp32@example.org,"клх Тобольск, алл. Школьная, д. 33, 841654",,https://t.me/jakushevfirs,,966578070242.0,330579.0,11:19:10,m,52.0,
Дмитриев,Епифан,Демидович,,,"п. Красная Поляна, пер. Мелиоративный, д. 4/6 стр. 1, 406155",1935-02-28,https://t.me/efremovseliverst,16.0,,330579.0,,,52.0,
Тихонов,Амвросий,Демидович,,mihalovhariton@example.org,,1935-02-28,https://t.me/ekaterina_1985,,,,,,52.0,
,,Демидович,,,"ст. Екатеринбург, пр. Дорожников, д. 2 стр. 73, 153331",1935-02-28,https://t.me/sharovairina,16.0,,330579.0,,,,95.0
Яковлев,,,81331605647.0,nikon_99@example.com,,1989-02-19,https://t.me/karpovajulija,0.0,966578070242.0,,11:19:10,,,
Кудряшов,,Демидович,87209423002.0,rjabovfilimon@example.com,"с. Руза, пер. Пушкина, д. 6/7, 989962",,https://t.me/efremovseliverst,16.0,,,,,2.0,95.0
,Дорофей,,,,"г. Элиста, пер. Рязанский, д. 4/7 к. 4, 515219",1965-07-19,https://t.me/poljakovruben,,434349341268.0,,,,25.0,
Воробьев,Самсон,,,,"клх Озеры, бул. 40 лет Октября, д. 8 к. 5, 552104",2005-12-08,,23.0,,,13:35:46,,87.0,
Федосеев,,Сергеевна,,,,1993-03-10,,19.0,,803311.0,,,25.0,40.0
,,Сергеевна,70479962608.0,rozhkovfedosi@example.com,,1976-05-05,https://t.me/osipovmarian,,,958873.0,,m,,
Власова,Мечислав,,77770582358.0,,,,,28.0,,958873.0,,f,,
,,Сергеевна,82146664932.0,,"ст. Озеры, пер. Таежный, д. 32 стр. 5, 638625",1976-05-05,https://t.me/poljakovruben,19.0,,,,m,,40.0
